target,pdb_id,source_url,source_bytes,source_sha256,atom_records,hetatm_records,blank_element_fields,alternate_location_records,chain_ids,outcome,return_code,pdbqt_bytes,error_class
igf1r,2oj9,https://dude.docking.org/targets/igf1r/receptor.pdb,137091,34a93a05d1d1790d61db89cc6afb0e4ef37827a89d33d2ef6ffc1e40a6436194,2470,0,2470,0,_,direct_failure,1,0,blank_element_fields
inha,2h7l,https://dude.docking.org/targets/inha/receptor.pdb,124392,04d5704957ab92403ff3440ee7c6f3f9fc6179602d9dcf32d7bcc82ede74f350,2244,0,2244,0,_,direct_failure,1,0,blank_element_fields
ital,2ica,https://dude.docking.org/targets/ital/receptor.pdb,96551,4a54b121a6e823234eeffe0c4bdac9548e62ce13b32f1943a7abe246f50d5e10,1754,0,1754,0,_,direct_failure,1,0,blank_element_fields
jak2,3lpb,https://dude.docking.org/targets/jak2/receptor.pdb,146410,607c39cf2377768f8929d1fe7b030e2ec9584ce0da4afc6febe52750f82dba24,2662,0,2662,0,_,direct_failure,1,0,blank_element_fields
kif11,3cjo,https://dude.docking.org/targets/kif11/receptor.pdb,145656,3515caef52b7eb014d1a4401f8b78ecbe1f28f93eec091290a852618960d844f,2611,0,2611,0,_,direct_failure,1,0,blank_element_fields
kit,3g0e,https://dude.docking.org/targets/kit/receptor.pdb,144100,25c788e13264a8c1bdaf367b7f15980349f279279e0b0b60f06df666c07266df,2620,0,2620,0,_,direct_failure,1,0,blank_element_fields
kith,2b8t,https://dude.docking.org/targets/kith/receptor.pdb,151758,2d81ec3587b655938d4f04623b8cd721d649702ed40881aef8c4ea369cf51bb8,2718,0,2718,0,_,direct_failure,1,0,blank_element_fields
kpcb,2i0e,https://dude.docking.org/targets/kpcb/receptor.pdb,164395,27e42f457c82596332fbcfa10f4059d1718887dabedb3388ee6e6fb7f5520c90,2989,0,2989,0,_,direct_failure,1,0,blank_element_fields
lck,2of2,https://dude.docking.org/targets/lck/receptor.pdb,138258,8deec3f75bdbea8c412a6d27d3b4da4e092c34b044ece8042fe7f9e2f7a1524f,2502,0,2502,0,_,direct_failure,1,0,blank_element_fields
lkha4,3chp,https://dude.docking.org/targets/lkha4/receptor.pdb,257565,0c18c94e302985fe26a81832b97afbe7c8b55d6b8c78df5bccdb18d163ebb9b1,4683,0,4683,0,_,direct_failure,1,0,blank_element_fields
mapk2,3m2w,https://dude.docking.org/targets/mapk2/receptor.pdb,136730,e6a902a6237717083966dd1e19bfb0283fe8d937d492a38338642dd01a322975,2486,0,2486,0,_,direct_failure,1,0,blank_element_fields
mcr,2aa2,https://dude.docking.org/targets/mcr/receptor.pdb,123738,53c89b1b3e317fb98b70b41b21e62d9f89e02836833b63eb970392480c0cd893,2238,0,2238,0,_,direct_failure,1,0,blank_element_fields
met,3lq8,https://dude.docking.org/targets/met/receptor.pdb,142681,c56dcf2b6b9b3617dab0ef1dcddc0dd04c373d03d5fa85f79eec90dd59a46d6b,2578,0,2578,0,_,direct_failure,1,0,blank_element_fields
mk01,2ojg,https://dude.docking.org/targets/mk01/receptor.pdb,145289,f82f4fe811cdd8f53abaa8b0925e8f9cf20179bdc9452c17bd1b35e1bc89b893,2621,0,2621,0,_,direct_failure,1,0,blank_element_fields
mk10,2zdt,https://dude.docking.org/targets/mk10/receptor.pdb,146933,29f67ffb01cb3cd2d456b888a5ea6e30079b159ae3bf2749c8a071f6cd7846b6,2645,0,2645,0,_,direct_failure,1,0,blank_element_fields
mk14,2qd9,https://dude.docking.org/targets/mk14/receptor.pdb,146467,c65e2eb4dd27b429f48fdd1e47e91aad4027ee74f943737aa39ff360bb7c7f24,2638,0,2638,0,_,direct_failure,1,0,blank_element_fields
mmp13,830c,https://dude.docking.org/targets/mmp13/receptor.pdb,102560,21407ee3d37f41a7a2689dd210140eab6e0a1771105d4a8ab2740db5892ffe92,1850,0,1850,0,_,direct_failure,1,0,blank_element_fields
mp2k1,3eqh,https://dude.docking.org/targets/mp2k1/receptor.pdb,165715,45cb0c22252169dfde3f000d76b87a54902e9217dc4c89346f56f2ba8e0f2420,3013,0,3013,0,_,direct_failure,1,0,blank_element_fields
nos1,1qw6,https://dude.docking.org/targets/nos1/receptor.pdb,196130,888bb1616de10f43777ba191e81e9087f82347e68beed7f4d5724b138d351056,3566,0,3566,0,_,direct_failure,1,0,blank_element_fields
nram,1b9v,https://dude.docking.org/targets/nram/receptor.pdb,184339,c104b785c7e2a36781a8df057dc3eb453458f36881ad348a8f31d5af85ae54fe,3331,0,3331,0,_,direct_failure,1,0,blank_element_fields
pa2ga,1kvo,https://dude.docking.org/targets/pa2ga/receptor.pdb,201190,3f44290ac26ce738ef3a701323b7f7cb874a8bd5ce019fbbfd0e3a5234147737,3658,0,3658,0,_,direct_failure,1,0,blank_element_fields
parp1,3l3m,https://dude.docking.org/targets/parp1/receptor.pdb,184305,abe4dea81473b133ab6aaec3f54cfffdf6c197a300281d99e8faf3d8e5a5676b,3351,0,3351,0,_,direct_failure,1,0,blank_element_fields
pde5a,1udt,https://dude.docking.org/targets/pde5a/receptor.pdb,173800,bb3cc7ec0ab274361c8802c51e8c752c82b10cfd61ba33291c7dce7a77b5920e,3160,0,3160,0,_,direct_failure,1,0,blank_element_fields
pgh1,2oyu,https://dude.docking.org/targets/pgh1/receptor.pdb,226380,618175bb5b4132b768b76f67323d78a603a42db7561fb58aa97b0e104f27d097,4116,0,4116,0,_,direct_failure,1,0,blank_element_fields
pgh2,3ln1,https://dude.docking.org/targets/pgh2/receptor.pdb,296065,ef1f6759a5f294e8ddb58df19f7d05a7655fba8812f7017ae4688fd9562fee01,5383,0,5383,0,_,direct_failure,1,0,blank_element_fields
plk1,2owb,https://dude.docking.org/targets/plk1/receptor.pdb,132990,8036ee63d01398d0e4e8242bd486d7b3bda5b338d3b099cd1ecba3ee3950edb2,2418,0,2418,0,_,direct_failure,1,0,blank_element_fields
pnph,3bgs,https://dude.docking.org/targets/pnph/receptor.pdb,127388,4e9169f4962a9b662c0073973f9f9dcddf2baad3ae03e17dad133747675b399b,2297,0,2297,0,_,direct_failure,1,0,blank_element_fields
ppara,2p54,https://dude.docking.org/targets/ppara/receptor.pdb,135227,3c2932b1ae93cbd7b3e4e8c891663a9860872fe88636dfcd1596c3f193d200c2,2441,0,2441,0,_,direct_failure,1,0,blank_element_fields
ppard,2znp,https://dude.docking.org/targets/ppard/receptor.pdb,143277,91bf32398a8d7193d72ec169bb7fb6592edc6aaae01b10f6c8cfc58c91c69243,2580,0,2580,0,_,direct_failure,1,0,blank_element_fields
pparg,2gtk,https://dude.docking.org/targets/pparg/receptor.pdb,129030,48322adf204dfea80f960e779f27b435729ac67d9c3ecf38bcfe521ead9c20ec,2346,0,2346,0,_,direct_failure,1,0,blank_element_fields
prgr,3kba,https://dude.docking.org/targets/prgr/receptor.pdb,152572,027e60ace1ea16389788ca9f2efe83fe36be1504d07b225faa3546f4e193cb0e,2749,0,2749,0,_,direct_failure,1,0,blank_element_fields
ptn1,2azr,https://dude.docking.org/targets/ptn1/receptor.pdb,140663,710afface369fe86208f452fe46d7192ea84e130aacad6bd49172b0eca5052f7,2531,0,2531,0,_,direct_failure,1,0,blank_element_fields
pur2,1njs,https://dude.docking.org/targets/pur2/receptor.pdb,125744,08ddc3c0f5f25c6362e2460e3342fb37ed738d06296b24662810017be236a84e,2273,0,2273,0,_,direct_failure,1,0,blank_element_fields
pygm,1c8k,https://dude.docking.org/targets/pygm/receptor.pdb,207790,b80e2037e3ac13b7bb8421cbab39d6ac3f3cb00c6f546ca5e58370e7f3c8a3ca,3778,0,3778,0,_,direct_failure,1,0,blank_element_fields
pyrd,1d3g,https://dude.docking.org/targets/pyrd/receptor.pdb,142385,9cd9e6ed6e9f2a466f9a35eed5f40468f07ddf18d25d4f7532fad6e6f52c0f64,2560,0,2560,0,_,direct_failure,1,0,blank_element_fields
reni,3g6z,https://dude.docking.org/targets/reni/receptor.pdb,207042,39440dee23970f2fbf40477b9eba8f4e5417f4e9c8fcc6d333b4d91c0732493e,3732,0,3732,0,_,direct_failure,1,0,blank_element_fields
rock1,2etr,https://dude.docking.org/targets/rock1/receptor.pdb,180167,24950bdbd7d716bafcf1b84346a5832140e8ff5adb846f3a40a2ab94911a99dd,3212,0,3212,0,_,direct_failure,1,0,blank_element_fields
rxra,1mv9,https://dude.docking.org/targets/rxra/receptor.pdb,115407,3e3e071bda427e47611b547b070bf2a6b519b0e8ec4f5d25a3aa16333b005495,2088,0,2088,0,_,direct_failure,1,0,blank_element_fields
sahh,1li4,https://dude.docking.org/targets/sahh/receptor.pdb,202072,8e412ef64d9e3e6e0da448fc7cf1712bd9cedae92fe3e7228f4fb4cdb018248c,3649,0,3649,0,_,direct_failure,1,0,blank_element_fields
src,3el8,https://dude.docking.org/targets/src/receptor.pdb,125015,01f00dde7cab0fa16fec56f3f83ca89133c02d1a44dfb33f48a7731b70f16b37,2273,0,2273,0,_,direct_failure,1,0,blank_element_fields
tgfr1,3hmm,https://dude.docking.org/targets/tgfr1/receptor.pdb,144050,7ec2c875a5f3e4b6def52fe4af37964a0228447d500f6da50ff9349ebbf330cc,2597,0,2597,0,_,direct_failure,1,0,blank_element_fields
thb,1q4x,https://dude.docking.org/targets/thb/receptor.pdb,118382,9997e97a0152426735ce7a6c41eb325936f895584ff7ef4d9b8f34ca64fcac51,2107,0,2107,0,_,direct_failure,1,0,blank_element_fields
thrb,1ype,https://dude.docking.org/targets/thrb/receptor.pdb,143330,b821e862ab04acaf32b9ea23daa10e76f871cc32cfc74c4a0c1d852567fbbef3,2606,0,2606,0,_,direct_failure,1,0,blank_element_fields
try1,2ayw,https://dude.docking.org/targets/try1/receptor.pdb,110987,d3b45ff24196d21757893c9d17594402c46f0a61b9221b1fbad92ab3baba3f9e,2015,0,2015,0,_,direct_failure,1,0,blank_element_fields
tryb1,2zec,https://dude.docking.org/targets/tryb1/receptor.pdb,218951,e3fd584350ec57b729fb445e2b7a14aa99257036159b8000ef4d365901468df6,3950,0,3950,0,_,direct_failure,1,0,blank_element_fields
tysy,1syn,https://dude.docking.org/targets/tysy/receptor.pdb,171710,811b41b3b3167dcd7dcf86e8cd992cea9c3a2bc7618d2d8e8a562ffab4495a7f,3122,0,3122,0,_,direct_failure,1,0,blank_element_fields
urok,1sqt,https://dude.docking.org/targets/urok/receptor.pdb,123744,d598b44ecbd6c9529e74921c6fd272051421fcb0a65df9a89bcbd40e2b2c733a,2244,0,2244,0,_,direct_failure,1,0,blank_element_fields
vgfr2,2p2i,https://dude.docking.org/targets/vgfr2/receptor.pdb,163910,eb4ebb7f592208e01ebc10944c5c1f9d420b73bbec79940e2048666f5766638e,2936,0,2936,0,_,direct_failure,1,0,blank_element_fields
wee1,3biz,https://dude.docking.org/targets/wee1/receptor.pdb,120458,3c172d58828856b0b4bad34b0ad4a377260a121c2d067dd718b482672700ef74,2171,0,2171,0,_,direct_failure,1,0,blank_element_fields
xiap,3hl5,https://dude.docking.org/targets/xiap/receptor.pdb,74085,c657ca8fe816cd6bdb0f066c63066971990801657fe586ec1101fae006573cc2,1347,0,1347,0,_,direct_failure,1,0,blank_element_fields
