target,pdb_id,mmcif_sha256,outcome,return_code,pdbqt_bytes,error_class
kit,3g0e,4d6aea1ebab23dab371149a2c409ecc19d42a04b7678df12953ce60b67e93b9b,direct_failure,1,0,alternate_locations
kith,2b8t,3b6a27a0a6545c7697e7290b7398466efc98ee77f4ddedb3021b2ffc78fd8f3d,direct_failure,1,0,residue_template_mismatch
kpcb,2i0e,dbc0cd31e377817776520118c4ba02390110562fff28dda14fc47afb9d97cd00,direct_success,0,531927,
lck,2of2,582a71a114c97a23ebfb809679b3dbcb563b0b9ade079d1f5933bc45d1838e7f,direct_failure,1,0,residue_template_mismatch
lkha4,3chp,7933d8a5bd1bb47977bdf9b10ad7fff3024e4de17ec5866b0727f63818d47afa,direct_failure,1,0,element_error
mapk2,3m2w,affdf3f7942db5d1cdcc965bd0c871c78a2bdc41ec99780ccd3777f38f36f911,direct_failure,1,0,alternate_locations
mcr,2aa2,0a9ec64d41bc14c01a41241a78ec3b29478347797e7e64f307725b3c3be3eab3,direct_failure,1,0,residue_template_mismatch
met,3lq8,a06e0dd6d6be63f7022e7093b958f81e1a7ebe9a2489bd33d098b677f47026f9,direct_failure,1,0,alternate_locations
mk01,2ojg,794cad871b0d976a717ded3c84836c669a677b0ee079af04dcdbcc51ea582ca7,direct_success,0,319950,
mk10,2zdt,7f87005c72e785320fc3e179da8058f03dd8f338b7bf9eeb4a8f630bb6d10abf,direct_failure,1,0,alternate_locations
mk14,2qd9,818df8c5c8a26d40566f1079a4eb8872c07ac68643424f5d296286ae293cf49f,direct_success,0,300105,
mmp13,830c,3c4cb649ba41d421da4834b8dda5e419a8deda1ea7fc01430330fc355171c9c2,direct_failure,1,0,residue_template_mismatch
mp2k1,3eqh,f691d0b7fc2171a68f180878e19db4924741d207be721fab7d81fa16cb4dc3a8,direct_failure,1,0,residue_template_mismatch
nos1,1qw6,ed5e14667084d0fd344d30bc71e017f48e410e1e5d6130cd6a41bc93486ea091,direct_success,0,413748,
nram,1b9v,06ecc2f0c82d97ca07a88379a9597231c043bf43cd0a338520fbf6f71d0f582c,direct_failure,1,0,residue_template_mismatch
pa2ga,1kvo,877284470809b39101ee6db6694b066b0e79726aed138c00219111bfc9d1b6d4,direct_failure,1,0,residue_template_mismatch
parp1,3l3m,924fb78377a5ffa4cee1d96a8a87c5c4e2fed1c58a4132d218e7e705aa75413a,direct_success,0,301725,
pde5a,1udt,5f3e39031fc579ca6b31cdaab37dd7fbceba26126cf33a03fd6ab35e62eb16e9,direct_success,0,274671,
pgh1,2oyu,d038ab60c53813a515624d26d890415452bdf4046bee77d12ec05acb00b645dd,direct_failure,1,0,other_preparation_failure
pgh2,3ln1,988bae0b88e4f4d5d21607bbae29b94a9201554f627fb79383109fe364c37fac,direct_failure,1,0,other_preparation_failure
plk1,2owb,0e75c5339c11d272f5822510503e4a211e972d1c23ff974c62e2eedb44d89946,direct_failure,1,0,alternate_locations
pnph,3bgs,8a85177a6512e678f6feda49552c97b0d4784f70c3302a6dc7831f234a75e353,direct_failure,1,0,alternate_locations
ppara,2p54,aa5f374c358cfdfff995676fb575bbcdc2780d1d8c671279beb317b7890155e4,direct_failure,1,0,residue_template_mismatch
ppard,2znp,c76f05a2721da4c7d18420b038bb26a1ae06acec1003db9b9bb13c564e287e0e,direct_success,0,423630,
pparg,2gtk,a4405f1d3c991c934b9dcdd91ae23648da826b3f44f4cf29660f49a8f6352aa5,direct_success,0,275481,
prgr,3kba,b614ea49b1b5df2b381c0645a69250440b414aad208d991f2593ab14306e242b,direct_failure,1,0,alternate_locations
ptn1,2azr,a7ecfeae6661bcf03f907fcd256e12d31492caa2817043271af9ae097a20a227,direct_success,0,294759,
pur2,1njs,c3e56d14bacf89906fbc03379e4ba6cd66282473b7b5e15717f3d28f21a8f07f,direct_success,0,368226,
pygm,1c8k,35252e47f67a97fcc12a19eedc58837be43ac92bece12e8f63868dfc42cfe6e6,direct_failure,1,0,other_preparation_failure
pyrd,1d3g,32f68e7d1beed3226ac41b091a18f55101b51388ed35db3e7cee9ee5be7e0436,direct_failure,1,0,alternate_locations
reni,3g6z,35eabf04e2e851eac12abaf510c4678b63b4f2645ef9c68068db1660aea04c4e,direct_failure,1,0,other_preparation_failure
rock1,2etr,27253e6ee25c3894cfcfa93fc2bad15d8f293da33ab107a18f6efbeca1e81e0c,direct_failure,1,0,residue_template_mismatch
rxra,1mv9,2392ff817a7bb428bacf5d78dd6819a8aa06ef3e6a02975855c222b20a583355,direct_failure,1,0,other_preparation_failure
sahh,1li4,ee0e9342d6e02a4c0765efb9ed74a020f4fea77c9aa8b64819f9b879e3697041,direct_failure,1,0,residue_template_mismatch
src,3el8,cca5177840c78e9a3ea0a8f36988649164610c2e83bd4e71b1ca61c370685618,direct_failure,1,0,residue_template_mismatch
tgfr1,3hmm,33e046bc3ba5f80405814a2a911dbaa12d7ed427d1a983a2dc493f01c297b6c1,direct_success,0,289656,
thb,1q4x,1736b5af4635ec62024cafb3af2fd116da7735d4df47f2c83cc37a6ae5d60bab,direct_failure,1,0,residue_template_mismatch
thrb,1ype,c0e2f37e7cb2cd729d7a01dec8baebe734de3c3061c6ad10c76237e79225814d,direct_failure,1,0,residue_template_mismatch
try1,2ayw,6ec49c1c9bca98646103e1b04680a6242a50cd78b28d1e79ead4571b0c255eb6,direct_failure,1,0,residue_template_mismatch
tryb1,2zec,24374c4ef07b7ffc35db63177ad724782febc9b57cc51130d6ffe7b6e6b688e4,direct_failure,1,0,residue_template_mismatch
tysy,1syn,2fe73e2f776dab4f2cb988860a9003961a8a969600822306479ff40255b5bf75,direct_failure,1,0,other_preparation_failure
urok,1sqt,702bc4e3a599960158003bddfaffa82f99c5e7b5e25767070dc964649cc83bae,direct_failure,1,0,residue_template_mismatch
vgfr2,2p2i,7a44b14fe17f70b80c36cb4cdf6fd6471160b8f96f78584ef8dbb1f7d63c4530,direct_failure,1,0,residue_template_mismatch
wee1,3biz,51a52f2285edcb1fef3a380385b47152f4117eb858ba6afd72bb9121f506395f,direct_failure,1,0,alternate_locations
xiap,3hl5,3d42af12c41b2cc070a6ef429b1ac3e6db37f68bdef19989fefca317f33cc39e,direct_success,0,190593,
